BeybladePreset,EnergyRing,FusionWheel,SpinTrack,PerformanceTip,Type,Attack_EnergyRing,Defense_EnergyRing,Stamina_EnergyRing,Attack_FusionWheel,Defense_FusionWheel,Stamina_FusionWheel,Attack_PerformanceTip,Defense_PerformanceTip,Stamina_PerformanceTip,Attack_Total,Defense_Total,Stamina_Total
Sagittario_145_F,N/A,Sagittario,145,F,Attack,N/A,N/A,N/A,1,2,4,5,1,1,6,3,5
Bull_105_S,N/A,Bull,105,S,Stamina,N/A,N/A,N/A,3,2,2,1,2,4,4,4,6
Pegasus_145_SF,N/A,Pegasus,145,SF,Balance,N/A,N/A,N/A,5,1,1,3,2,2,8,3,3
Leone_125_S,N/A,Leone,125,S,Stamina,N/A,N/A,N/A,1,4,2,1,2,4,2,6,6
Sagittario_145_SF,N/A,Sagittario,145,SF,Balance,N/A,N/A,N/A,1,2,4,3,2,2,4,4,6
Bull_105_D,N/A,Bull,105,D,Defense,N/A,N/A,N/A,3,2,2,1,4,2,4,6,4
Pegasus_145_F,N/A,Pegasus,145,F,Attack,N/A,N/A,N/A,5,1,1,5,1,1,10,2,2
Libra_DF145_BS,N/A,Libra,DF145,BS,Stamina,N/A,N/A,N/A,1,1,5,0,3,4,1,4,9
Pegasus_100_HF,N/A,Pegasus,100,HF,Attack,N/A,N/A,N/A,5,1,1,4,0,3,9,1,4
Wolf_125_SF,N/A,Wolf,125,SF,Balance,N/A,N/A,N/A,3,3,1,3,2,2,6,5,3
Leone_D125_B,N/A,Leone,D125,B,Defense,N/A,N/A,N/A,1,4,2,0,4,3,1,8,5
Virgo_DF145_BS,N/A,Virgo,DF145,BS,Stamina,N/A,N/A,N/A,2,2,4,0,3,4,2,5,8
Libra_145_S,N/A,Libra,145,S,Stamina,N/A,N/A,N/A,1,1,5,1,2,4,2,3,9
L-Drago_105_F,N/A,L-Drago,105,F,Attack,N/A,N/A,N/A,5.5,1,1,5,1,1,10.5,2,2
Scorpio_WD145_B,N/A,Scorpio,WD145,B,Defense,N/A,N/A,N/A,1,5,1,0,4,3,1,9,4
Pisces_D125_BS,N/A,Pisces,D125,BS,Stamina,N/A,N/A,N/A,1,2,4,0,3,4,1,5,8
Aquario_DF145_SF,N/A,Aquario,DF145,SF,Balance,N/A,N/A,N/A,4,2,1,3,2,2,7,4,3
Virgo_125_BS,N/A,Virgo,125,BS,Stamina,N/A,N/A,N/A,2,2,4,0,3,4,2,5,8
Libra_D125_HF,N/A,Libra,D125,HF,Attack,N/A,N/A,N/A,1,1,5,4,0,3,5,1,8
Aquario_105_B,N/A,Aquario,105,B,Defense,N/A,N/A,N/A,4,2,1,0,4,3,4,6,4
Virgo_100_B,N/A,Virgo,100,B,Defense,N/A,N/A,N/A,2,2,4,0,4,3,2,6,7
Libra_100_F,N/A,Libra,100,F,Attack,N/A,N/A,N/A,1,1,5,5,1,1,6,2,6
Bull_DF145_HF,N/A,Bull,DF145,HF,Attack,N/A,N/A,N/A,3,2,2,4,0,3,7,2,5
Gemios_DF145_FS,N/A,Gemios,DF145,FS,Balance,N/A,N/A,N/A,2,3,2,3,1,3,5,4,5
Capricorn_100_HF,N/A,Capricorn,100,HF,Attack,N/A,N/A,N/A,4,2,1,4,0,3,8,2,4
Heat_Pegasus_100_WB,Pegasus,Heat,100,WB,Defense,4,2,1,1,2,4,1,5,1,6,9,6
Clay_Wolf_145_FS,Wolf,Clay,145,FS,Balance,3,2,2,1,4,2,3,1,3,7,7,7
Heat_Wolf_WD145_SF,Wolf,Heat,WD145,SF,Balance,3,2,2,1,2,4,3,2,2,7,6,8
Mad_Leone_145_B,Leone,Mad,145,B,Defense,1,4,2,2,3,2,0,4,3,3,11,7
Clay_Leone_DF145_WB,Leone,Clay,DF145,WB,Defense,1,4,2,1,4,2,1,5,1,3,13,5
Wind_Pegasus_DF145_B,Pegasus,Wind,DF145,B,Balance,4,2,1,4,2,1,0,4,3,8,8,5
Wind_Leone_D125_HF,Leone,Wind,D125,HF,Attack,1,4,2,4,2,1,4,0,3,9,6,6
Clay_Wolf_105_B,Wolf,Clay,105,B,Defense,3,2,2,1,4,2,0,4,3,4,10,7
Clay_Sagittario_145_B,Sagittario,Clay,145,B,Defense,1,2,4,1,4,2,0,4,3,2,10,9
Heat_Pegasus_DF145_WB,Pegasus,Heat,DF145,WB,Balance,4,2,1,1,2,4,1,5,1,6,9,6
Heat_Leone_D125_FS,Leone,Heat,D125,FS,Balance,1,4,2,1,2,4,3,1,3,5,7,9
Mad_Sagittario_DF145_HF,Sagittario,Mad,DF145,HF,Attack,1,2,4,2,3,2,4,0,3,7,5,9
Mad_Leone_145_FS,Leone,Mad,145,FS,Balance,1,4,2,2,3,2,3,1,3,6,8,7
Wind_Wolf_WD145_WB,Wolf,Wind,WD145,WB,Defense,3,2,2,4,2,1,1,5,1,8,9,4
Storm_Pegasus_100_RF,Pegasus,Storm,100,RF,Attack,4,2,1,4,1,1,6,1,0,14,4,2
Rock_Wolf_H145_B,Wolf,Rock,H145,B,Defense,3,2,2,1,4,2,0,4,3,4,10,7
Dark_Leone_C145_B,Leone,Dark,C145,B,Balance,1,4,2,3,3,2,0,4,3,4,11,7
Flame_Wolf_H145_S,Wolf,Flame,H145,S,Stamina,3,2,2,1,2,4,1,2,4,5,6,10
Storm_Sagittario_145_SD,Sagittario,Storm,145,SD,Balance,1,2,4,4,1,1,1,3,3,6,6,8
Rock_Bull_WD145_HF,Bull,Rock,WD145,HF,Balance,3,3,1,1,4,2,4,0,3,8,7,6
Dark_Sagittario_WD145_SD,Sagittario,Dark,WD145,SD,Defense,1,2,4,3,3,2,1,3,3,5,8,9
Flame_Bull_105_WB,Bull,Flame,105,WB,Defense,3,3,1,1,2,4,1,5,1,5,10,6
Clay_Pegasus_145_S,Pegasus,Clay,145,S,Stamina,4,2,1,1,4,2,1,2,4,6,8,7
Mad_Sagittario_C145_SD,Sagittario,Mad,C145,SD,Balance,1,2,4,2,3,2,1,3,3,4,8,9
Heat_Bull_D125_WB,Bull,Heat,D125,WB,Defense,3,3,1,1,2,4,1,5,1,5,10,6
Wind_Wolf_H145_D,Wolf,Wind,H145,D,Balance,3,2,2,4,2,1,1,4,2,8,8,5
Heat_Leone_H145_S,Leone,Heat,H145,S,Stamina,1,4,2,1,2,4,1,2,4,3,8,10
Mad_Bull_C145_HF,Bull,Mad,C145,HF,Attack,3,3,1,2,3,2,4,0,3,9,6,6
Wind_Sagittario_100_SD,Sagittario,Wind,100,SD,Balance,1,2,4,4,2,1,1,3,3,6,7,8
Dark_Capricorn_105_RF,Capricorn,Dark,105,RF,Attack,4,2,1,3,3,2,6,1,0,13,6,3
Storm_Aquario_M145_Q,Aquario,Storm,M145,Q,Attack,4,1,2,4,1,1,6,0,0,14,2,3
Rock_Aries_145_D,Aries,Rock,145,D,Defense,1,4,2,1,4,2,1,4,2,3,12,6
Flame_Libra_DF145_BS,Libra,Flame,DF145,BS,Stamina,2,1,4,1,2,4,0,3,4,3,6,12
Storm_Eagle_145_HF,Eagle,Storm,145,HF,Attack,2,1,4,4,1,1,4,0,3,10,2,8
Flame_Capricorn_T125_HF,Capricorn,Flame,T125,HF,Balance,4,2,1,1,2,4,4,0,3,9,4,8
Rock_Capricorn_T125_D,Capricorn,Rock,T125,D,Defense,4,2,1,1,4,2,1,4,2,6,10,5
Earth_Gasher_DF145_ES,Gasher,Earth,DF145,ES,Stamina,3,3,1,1,1,5,0,2,5,4,6,11
Storm_Libra_145_S,Libra,Storm,145,S,Balance,2,1,4,4,1,1,1,2,4,7,4,9
Flame_Eagle_100_ES,Eagle,Flame,100,ES,Stamina,2,1,4,1,2,4,0,2,5,3,5,13
Rock_Libra_100_WD,Libra,Rock,100,WD,Defense,2,1,4,1,4,2,0,5,2,3,10,8
Rock_Orso_ED145_D,Orso,Rock,ED145,D,Defense,2,3,2,1,4,2,1,4,2,4,11,6
Earth_Virgo_T125_ES,Virgo,Earth,T125,ES,Stamina,1,2,4,1,1,5,0,2,5,2,5,14
Burn_Striker_SW145_JB,Striker,Burn,SW145,JB,Balance,4,2,1,1,2,4,2,5,2,7,9,7
Poison_Striker_130_HF,Striker,Poison,130,HF,Attack,4,2,1,3,3,1,4,0,3,11,5,5
Storm_Fireblaze_130_B,Fireblaze,Storm,130,B,Balance,1,1,5,4,1,1,0,4,3,5,6,9
Poison_Fireblaze_WA130_SD,Fireblaze,Poison,WA130,SD,Balance,1,1,5,3,3,1,1,3,3,5,7,9
Burn_Serpent_WA130_ES,Serpent,Burn,WA130,ES,Stamina,3,3,1,1,2,4,0,2,5,4,7,10
Storm_Serpent_T125_HF,Serpent,Storm,T125,HF,Attack,3,3,1,4,1,1,4,0,3,11,4,5
Pisces_DF145_BS,N/A,Pisces,DF145,BS,Stamina,N/A,N/A,N/A,1,2,4,0,3,4,1,5,8
Cyber_Aquario_105_RF,Aquario,Cyber,105,RF,Attack,4,1,2,4,1,1,6,1,0,14,3,3
Poison_Zurafa_S130_MB,Zurafa,Poison,S130,MB,Defense,1,5,1,3,3,1,0,5,2,4,13,4
Aries_145_D,N/A,Aries,145,D,Defense,N/A,N/A,N/A,2,4,1,1,4,2,3,8,3
Pegasus_85_RF,N/A,Pegasus,85,RF,Attack,N/A,N/A,N/A,5,1,1,6,1,0,11,2,1
Libra_100_D,N/A,Libra,100,D,Stamina,N/A,N/A,N/A,1,1,5,1,4,2,2,5,7
Burn_Gasher_90_WD,Gasher,Burn,90,WD,Balance,3,3,1,1,2,4,0,5,2,4,10,7
Galaxy_Gasher_D125_HF,Gasher,Galaxy,D125,HF,Attack,3,3,1,6,1,0,4,0,3,13,4,4
Burn_Scorpio_100_RF,Scorpio,Burn,100,RF,Balance,2,4,1,1,2,4,6,1,0,9,7,5
Flame_Gemios_105_CS,Gemios,Flame,105,CS,Balance,3,3,1,1,2,4,4,0,3,8,5,8
Evil_Scorpio_100_D,Scorpio,Evil,100,D,Defense,2,4,1,3,3,1,1,4,2,6,11,4
Galaxy_Sagittario_145_CS,Sagittario,Galaxy,145,CS,Attack,1,2,4,6,1,0,4,0,3,11,3,7
Flame_Gasher_D125_RF,Gasher,Flame,D125,RF,Balance,3,3,1,1,2,4,6,1,0,10,6,5
Burn_Sagittario_105_HF,Sagittario,Burn,105,HF,Balance,1,2,4,1,2,4,4,0,3,6,4,11
Gravity_Destroyer_BD145_XF,Destroyer Attack,Gravity,BD145,XF,Attack,5,2,0,2,5,0,6,1,0,13,8,0
Hades_Horuseus_85_RS,Horuseus,Hades,85,RS,Balance,2,4,1,3,0,4,1,5,1,6,9,6
Vulcan_Herculeo_130_DS,Herculeo,Vulcan,130,DS,Defense,3,2,2,2,4,1,0.5,2.5,4,5.5,8.5,7
Gravity_Destroyer_85_DS,Destroyer Stamina,Gravity,85,DS,Stamina,0,2,5,2,5,0,0.5,2.5,4,2.5,9.5,9
Cyclone_Horuseus_130_RSF,Horuseus,Cyclone,130,RSF,Attack,2,4,1,5,1,1,4,2,1,11,7,3
Hades_Herculeo_100_XF,Herculeo,Hades,100,XF,Balance,3,2,2,3,0,4,6,1,0,12,3,6
Vulcan_Tempo_BD145_RS,Tempo,Vulcan,BD145,RS,Defense,0,6,0,2,4,1,1,5,1,3,15,2
Divine_Fox_90_W2D,Fox,Divine,90,W2D,Defense,4,1,2,3,3,1,0,4,3,7,8,6
Forbidden_Ionis_130_D,Ionis,Forbidden,130,D,Balance,2,3,2,3,0,4,1,4,2,6,7,8
Divine_Crown_TR145_D,Crown,Divine,T125,D,Defense,2,0,5,3,3,1,1,4,2,6,7,8
Nightmare_Rex_UW145_EWD,Rex,Nightmare,UW145,EWD,Balance,3,3,0,4,4,0,0,3,5,7,10,5
Twisted_Tempo_130_RS,Tempo,Twisted,130,RS,Defense,0,6,0,0,6,0,1,5,1,1,17,1
Fang_Leone_W105_R2F,Leone II,Fang,W105,R2F,Attack,2,5,0,2,5,0,6,1,0,10,11,0
Cosmic_Pegasus_125_SF,Pegasus III,Cosmic,125,SF,Attack,6,0,1,6,0,1,3,2,2,15,2,4
Wing_Pegasus_90_WF,Pegasus III,Wing,90,WF,Attack,6,0,1,6,1,0,6,1,0,18,2,1
L-Drago_Guardian_S130_MB,N/A,L-Drago Guardian,S130,MB,Defense,N/A,N/A,N/A,3,4,0,0,5,2,3,9,2
Hades_Beelzeb_125_XF,Beelzeb,Hades,125,XF,Attack,3,3,1,3,0,4,6,1,0,12,4,5
Torch_Lyre_85_SF,Lyre,Torch,85,SF,Balance,2,5,0,1,3,2,3,2,2,6,10,4
Torch_Gemios_T125_SF,Gemios,Torch,T125,SF,Balance,3,3,1,1,3,2,3,2,2,7,8,5
Midnight_Scorpio_125_JB,Scorpio,Midnight,125,JB,Defense,2,4,1,3,2,1,2,5,2,7,11,4
Meteo_L-Drago_85_LF,L-Drago Rush,Meteo,85,LF,Attack,5,2,0,5,1,1,6,1,0,16,4,1
Meteo_L-Drago_LW105_JB,L-Drago Assault,Meteo,LW105,JB,Defense,6,0,1,5,1,1,2,5,2,13,6,4
Wing_Pegasus_S130_RB,Pegasus III,Wing,S130,RB,Attack,6,0,1,6,1,0,2,5,0,14,6,1
